Municipality.code,Municipality,Total_residents,Total_houses,P_female,Mean_age,P_age_00_14,P_age_15_39,P_age_65_more,P_migrants,P_afrodescendants,P_disability,P_indigenous_language,P_university_studies,P_read_write,P_electricity,P_car,P_cell_phone,P_internet,Mean_occupants,P_working,Current_income,P_poverty,P_extreme_poverty,P_vulnerable_income,P_educational_lag,P_lack_quality_living_spaces
16002, Aguililla,14754,4312,50.28466856,31.7522732,30.97799681,33.78913028,11.71652669,1.694797043,1.976312285,16.78025035,1.111586148,4.731949395,78.60886136,97.75011967,50.29954469,85.38221903,39.25997117,3.394865811,73.61312108,36452.64,62.8,14.1,2.7,41.5,13
16003, Álvaro Obregón,23000,5815,51.2,31.51686029,28.80389853,36.91424096,9.763738415,1.419366075,0.339647289,18.37809603,0.230836237,3.823375719,88.15426997,99.62062425,40.3484561,89.39472323,21.71063977,3.908730842,70.24922118,47591.84,62.1,12.2,3.3,27.5,9
16004, Angamacutiro,14943,4157,51.85036472,34.41250084,25.35635415,35.35434652,13.39757746,1.131267153,0.501940838,25.76629635,0.187378706,4.812583668,87.96920115,99.51818839,45.09756685,83.95567333,26.62009154,3.568263906,70.93333333,37143.05,46.4,6.2,1.6,32.8,8.2
16005, Angangueo,10892,2652,51.57914065,30.4440874,30.45354389,37.02717591,8.951524054,0.238729226,0.312356454,17.02166728,0.238707308,6.197208961,90.04524887,99.35873255,31.09433962,79.47944172,17.46510751,4.046397586,60.88770865,34525.81,61.4,13.5,3,21.2,12.1
16006, Apatzingán,126191,34303,50.74688369,30.17837272,29.42603072,38.2828475,7.541965857,1.037784576,1.312866889,17.09918942,1.57629507,9.864403271,88.4269794,99.41828174,46.64483495,91.34997661,45.38915853,3.633876907,79.93737746,45900.42,41.3,6.2,3.8,31.3,18.9
16007, Aporo,3529,884,52.76282233,30.51714367,29.44176821,38.4528195,8.841031454,1.19013885,4.732218759,19.46727118,0.141964793,6.161272005,88.12217195,99.77349943,48.24462061,84.71121178,18.91279728,3.944507361,68.67196368,42176.44,55.9,10.2,1.8,24.9,12.7
16008, Aquila,24676,5788,49.63122062,28.28489174,35.18773822,36.12440191,8.30021896,0.834181078,0.421716345,14.5644486,45.26263298,6.456575063,82.82197955,89.85053876,34.52173913,54.03478261,20.9051349,4.10762565,81.74382179,26771.74,48.8,16.2,0.6,31.6,40.8
16009, Ario,36268,9346,50.83268997,30.30125465,29.86454228,38.28623772,8.549381003,0.741563672,0.530540818,17.16650006,0.42088246,5.813110181,88.32022411,99.62198942,55.8543962,83.96888841,35.93344857,3.842992058,82.73053112,41755.69,45.7,7,6.3,26,14.1
16010, Arteaga,20332,5754,50.53118237,31.77229331,28.69586614,36.03346457,10.41830709,0.886699507,0.734496697,18.43660723,0.17809439,10.80343407,81.66899441,97.81811835,51.00401606,85.64944134,21.96612537,3.509414226,74.51014696,37166.63,46.9,8.6,2.5,29.8,17.2
16011, Briseñas,11681,3133,51.45963531,31.72724938,28.25956682,36.99169592,10.29877579,1.113681145,0.838969266,17.19886996,0.162713026,5.149074709,91.89016603,99.84,47.18309859,78.90524968,43.488,3.7008,64.40787351,43833.24,45,4.9,6,27.8,7.6
16012, Buenavista,45538,12695,49.47735957,29.88455288,30.28153549,37.65811665,7.600579761,1.912045889,0.585980526,15.38022104,4.165287798,4.11296896,83.32413902,99.43735637,52.86144578,91.30675965,32.95013082,3.562138614,84.74159797,37324.18,51.9,5.6,1.5,42.6,14.3
16013, Carácuaro,9176,2523,49.74934612,30.33947254,33.05361813,34.52484743,11.20313862,0.793126239,1.374495473,12.86524204,0.166260253,4.811529933,79.37326458,97.62093577,38.95279651,74.78191911,17.01030928,3.563045202,70.88199758,28250.96,62.6,12,1.3,34.3,21.1
16021, Charapan,13539,3591,52.4632543,30.81276313,28.68010931,39.25696137,9.432011227,0.724102261,1.137706856,15.75797872,55.7043504,4.79715724,80.81314397,98.74441964,22.93526786,70.39620536,3.989955357,3.740513393,82.45267025,29757.39,81.4,31.4,1.1,37,33.4
16022, Charo,25138,5618,45.8111226,32.04260482,25.20089108,40.73116397,8.75964675,1.426780233,0.939677484,17.45343098,0.457199765,4.957667406,89.81844073,99.23227995,44.54561685,88.87698625,32.75,3.905390932,76.48214286,37879.88,44.4,6.7,4.2,26.9,10.7
16023, Chavinda,10417,3033,51.34875684,34.31928578,25.31438994,34.96208121,13.33397331,2.218167851,2.42918867,22.37157945,1.22923269,4.263900893,86.08638312,99.67007588,46.75024744,83.00890795,46.38733091,3.422632794,68.4981685,52503.8,53.3,8.8,3,38.9,6.6
16024, Cherán,20586,4819,51.65160789,29.27163017,31.69829684,38.51094891,8.107055961,1.363459291,0.31633249,10.90670171,41.8339505,12.7053776,84.36265336,99.002079,41.74636175,77.60449158,12.84823285,4.206102117,84.72916667,36594.86,76.5,27,1.4,26.2,24.8
16025, Chilchota,40560,9518,51.52120316,29.6003701,29.31902295,40.51566741,7.421662966,0.355362519,0.325740937,11.37788087,60.68967221,8.974676031,86.32586515,99.11653345,27.67143458,77.36166632,21.46238822,4.194050247,84.56809751,35063.36,66.6,20.6,2,29.4,24.5
16026, Chinicuila,4773,1320,47.95725959,31.25162372,31.19631259,34.61135554,10.68510371,2.096875655,0.880134116,16.17770327,4.082509669,4.899011603,83.78787879,96.04562738,61.21673004,79.01140684,50.34220532,3.52243346,65.90389016,26691.15,41.6,4.4,5.5,33.9,19.7
16027, Chucándiro,4944,1462,51.71925566,37.45873786,21.84466019,32.88834951,17.49595469,1.477134763,0.748533279,23.30568481,0,2.450384771,79.95896033,99.58960328,45.69083447,88.9876881,13.4746922,3.367989056,59.669649,35259.53,49.9,5.4,0.6,39.4,5.9
16028, Churintzio,5233,1686,51.71030002,38.67265431,21.72749857,30.68985286,19.14771642,2.657743786,0.669216061,28.85277247,0.306102927,6.198584274,91.98337292,99.64264443,60.92912448,81.35795116,40.20250149,3.106015485,61.4225437,45119.89,38.6,2,2.9,29.2,2.4
16029, Churumuco,12342,3159,51.27207908,30.97949757,31.92058347,33.8006483,10.38897893,0.754135582,0.470282981,21.39730913,0.065306122,4.615258945,79.94296578,97.46112345,43.23809524,80.48935494,37.93650794,3.857278782,67.93235482,26588.77,62.9,14.6,1.3,33.4,32.4
16014, Coahuayana,17022,4709,48.74867818,30.44213371,30.17859241,37.63952532,8.923745741,1.670981407,3.806838209,14.2966271,2.189478667,8.186338345,86.95836873,99.16879795,53.56076759,87.16965047,30.37084399,3.568414322,77.91845494,38928.65,47.4,7.7,1.4,34.7,15.5
16015, Coalcomán de Vázquez Pallares,19633,5299,50.13497682,30.55589108,30.19244549,38.02333913,9.714402702,1.615964705,3.266499154,15.64887453,0.942757435,7.502344483,86.11005693,96.77726926,58.50820298,86.93745233,44.53557124,3.617981791,78.83689582,40128.01,50.4,7.8,5.9,35.1,15.5
16016, Coeneo,20965,5915,52.6687336,36.23772955,23.95897925,33.13140949,15.93131409,1.121183206,1.016221374,21.49706598,21.33995037,6.669529126,85.22150829,99.42470389,48.24843459,82.87068382,20.72117826,3.508291032,67.3598091,45035.36,49.1,11.6,1,32.2,9.8
16074, Cojumatlán de Régules,10553,2944,49.57831896,32.86430399,27.19605799,36.01819388,11.6649294,1.355707243,0.663632916,18.6392495,0.113711741,3.288164503,84.06929348,99.72807614,43.26988443,84.36437797,37.83140721,3.570700204,67.14579055,35799.93,59.1,8,3,36,7.4
16017, Contepec,35070,9145,51.68520103,29.7784146,31.48274879,37.10293698,8.571428571,0.527666857,0.601688149,21.49823201,0.282324759,2.831802886,87.31408574,99.03625014,39.54430934,83.1672325,14.2074707,3.808892783,79.01967249,36450.29,58.5,10.3,1.9,28.4,8.7
16018, Copándaro,9484,2407,51.57106706,32.27172079,27.19316744,37.62125685,10.60733868,1.129406798,0.168901087,16.37284915,0.17928707,2.554628945,88.35758836,99.33471933,39.16839917,86.27287854,23.08652246,3.881961762,62.63552961,34577.85,66.1,8.9,2,31.2,10.4
16019, Cotija,20198,5917,51.57936429,33.12961679,27.07693831,35.3005248,11.95167838,2.020602219,0.823249355,19.86233535,0.472166998,5.863337975,83.2769699,99.49229988,52.4284989,82.75220041,38.24674226,3.387309645,69.09739929,49701.14,46.6,5.2,2.2,37.3,7
16020, Cuitzeo,29910,7362,52.17652959,32.17138081,26.96756937,37.81009696,10.65195587,0.692400321,1.190874423,18.9264214,0.153851299,5.598313479,86.24626257,99.61951352,32.2593801,81.40293638,26.60051651,4.012909363,70.83390388,35293.76,65.3,13.3,3,31.1,8.9
16030, Ecuandureo,11850,3658,53.15611814,37.66675105,21.49367089,33.00421941,17.06329114,1.80682202,0.438818565,25.08860759,0.101342792,4.605763543,84.1083151,99.75389664,43.88843314,76.42876675,34.9466776,3.226141646,59.02547065,45454.66,45.2,6.3,2.4,43.5,4.6
16031, Epitacio Huerta,16112,4609,51.78128103,32.37363456,30.02730884,33.18023833,11.12835154,0.738671633,0.242085661,28.06603774,0.479004666,3.147744946,86.07073118,98.7173913,54.95652174,79.86956522,12.65217391,3.481521739,73.84380454,34168.82,52.6,8.3,0.7,32,5
16032, Erongarícuaro,15715,3946,51.44766147,32.48870506,27.90964047,36.88195991,11.98218263,0.814715804,0.203678951,15.20590669,40.5327895,8.19201836,87.93409379,99.41624365,33.07106599,80.40111703,16.31979695,3.931725888,81.59368635,34889.48,56.7,14.4,4,27.5,12.1
16033, Gabriel Zamora,21466,6178,50.66151123,30.89084048,29.05329855,37.2810287,8.856690272,0.629048041,5.465473861,13.38582677,0.284541468,7.438170789,84.56680162,99.43135662,43.88302193,90.43054427,24.70339672,3.463937622,77.04730832,36773.55,47.8,6.9,4.5,29.4,13.3
16034, Hidalgo,125712,31174,51.78344152,30.12918622,28.9284862,39.64680614,7.8394718,0.938884955,1.16483534,17.32167576,0.262001083,8.766438067,89.68327825,99.27743344,48.8598407,85.83081765,31.73379585,3.989210366,77.46901627,41520.76,66.3,16.4,2.8,30.1,14.8
16036, Huandacareo,11644,3415,52.12985228,35.3150885,24.64340952,34.40453686,14.21206393,1.650477091,0.232218113,26.8179474,0.180505415,8.903991741,87.771261,99.70622797,39.45358402,88.13160987,36.90861005,3.388970373,64.36374373,43422.94,49.1,7.5,3.4,31.6,7.2
16037, Huaniqueo,7945,2512,52.95154185,39.61075431,21.13083994,29.51769299,19.5063594,1.284634761,2.229219144,30.27326533,0.113335852,4.34454099,84.98606133,99.56192752,49.74113899,85.50378335,17.4432497,3.155652866,57.99839228,39457.86,46.2,6.5,2.6,39.5,5.8
16038, Huetamo,41973,12188,50.76835108,33.51635202,26.74485126,35.19021739,12.26639969,1.443500668,1.064591588,20.16882869,0.292089638,12.10520024,80.58659218,98.53606382,42.88653007,79.78942173,32.50493746,3.426000493,75.93312919,41286.66,41.9,7.5,5,27.2,25.8
16039, Huiramba,9015,2236,51.81364393,29.25867998,31.22573489,38.99057127,7.65391015,0.831946755,1.14292055,14.50915141,0.610297381,5.936529072,89.98211091,99.41860465,43.48993289,86.80089485,18.38926174,4.009838998,77.10951526,39930.91,54,5.4,3.5,25.9,7.9
16040, Indaparapeo,18385,4650,51.05792766,30.99559423,27.98477019,39.35273321,9.214033179,0.701849837,0.576651072,21.73747484,0.12512921,3.244243645,87.0697074,99.15948276,35.28017241,82.5,24.57426169,3.925878044,74.06926407,38571.52,65.8,17.5,2.5,32.9,17.9
16041, Irimbo,16043,4159,52.18475348,30.22196597,29.38353176,38.87053544,8.190488063,1.016399576,1.5155295,18.93122155,0.118453865,4.924266035,88.93698894,99.01276186,47.50662491,87.18998314,29.18372261,3.832651096,72.38878143,34055.83,62,11.8,2.5,31.2,11.3
