"Area_code","Area_name","Total_Population","Total_active_population","Bias","Map_bias"
29002," Apetatitlán de Antonio Carvajal",16003,NA,NA,NA
29005," Apizaco",80725,NA,NA,NA
29018," Contla de Juan Cuamatzi",38579,NA,NA,NA
29009," Cuaxomulco",5928,NA,NA,NA
29016," Ixtenco",7504,NA,NA,NA
29048," La Magdalena Tlaltelulco",19036,NA,NA,NA
29047," Lázaro Cárdenas",3534,NA,NA,NA
29017," Mazatecochco de José María Morelos",11592,NA,NA,NA
29011," Muñoz de Domingo Arenas",4755,NA,NA,NA
29024," Panotla",28357,NA,NA,NA
29041," Papalotla de Xicohténcatl",33499,NA,NA,NA
29049," San Damián Texóloc",5884,NA,NA,NA
29051," San Jerónimo Zacualpan",4092,NA,NA,NA
29053," San Juan Huactzinco",7688,NA,NA,NA
29054," San Lorenzo Axocomanitla",5689,NA,NA,NA
29055," San Lucas Tecopilco",3077,NA,NA,NA
29056," Santa Ana Nopalucan",7952,NA,NA,NA
29057," Santa Apolonia Teacalco",4636,NA,NA,NA
29059," Santa Cruz Quilehtla",7750,NA,NA,NA
29060," Santa Isabel Xiloxoxtla",5443,NA,NA,NA
29027," Tenancingo",12974,NA,NA,NA
29028," Teolocholco",25257,NA,NA,NA
29019," Tepetitla de Lardizábal",22274,NA,NA,NA
29029," Tepeyanco",13328,NA,NA,NA
29032," Tetlatlahuca",13561,NA,NA,NA
29035," Tocatlán",6294,NA,NA,NA
29036," Totolac",22529,NA,NA,NA
29038," Tzompantepec",18006,NA,NA,NA
29042," Xicohtzinco",14197,NA,NA,NA
29043," Yauhquemehcan",42242,NA,NA,NA
29044," Zacatelco",45717,NA,NA,NA
30001," Acajete",9701,NA,NA,NA
30002," Acatlán",3441,NA,NA,NA
30018," Aquila",1978,NA,NA,NA
30019," Astacinga",6909,NA,NA,NA
30026," Banderilla",25993,NA,NA,NA
30029," Calcahualco",13701,NA,NA,NA
30030," Camerino Z. Mendoza",41835,NA,NA,NA
30056," Chiconamel",6610,NA,NA,NA
30062," Chocamán",20839,NA,NA,NA
30064," Chumatlán",4008,NA,NA,NA
30036," Coacoatzintla",11018,NA,NA,NA
30041," Coetzala",2355,NA,NA,NA
30074," Huiloapan de Cuauhtémoc",7293,NA,NA,NA
30081," Ixhuatlancillo",27295,NA,NA,NA
30085," Ixtaczoquitlán",74004,NA,NA,NA
30086," Jalacingo",46794,NA,NA,NA
30088," Jalcomulco",5054,NA,NA,NA
30096," Landero y Coss",1543,NA,NA,NA
30137," Los Reyes",6308,NA,NA,NA
30098," Magdalena",3299,NA,NA,NA
30103," Mecatlán",12799,NA,NA,NA
30106," Miahuatlán",4841,NA,NA,NA
30206," Nanchital de Lázaro Cárdenas del Río",29209,NA,NA,NA
30113," Naranjal",4614,NA,NA,NA
30120," Oteapan",10343,NA,NA,NA
30135," Rafael Delgado",24127,NA,NA,NA
30146," Sochiapa",3925,NA,NA,NA
30171," Texhuacán",5575,NA,NA,NA
30185," Tlilapan",5548,NA,NA,NA
30199," Zaragoza",11899,NA,NA,NA
30203," Zozocolco de Hidalgo",14524,NA,NA,NA
31004," Baca",6195,NA,NA,NA
31039," Ixil",4186,NA,NA,NA
31043," Kaua",3405,NA,NA,NA
31051," Mocochá",3430,NA,NA,NA
31064," Sanahcat",1701,NA,NA,NA
31095," Tixpéhual",5690,NA,NA,NA
31106," Yobaín",2215,NA,NA,NA
